target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,instruct.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 45,source_file
,,,,,,,0.0074151000000028,0.0146431000000006,0.0073575000000118,6.833107600000005,0.0277777777777777,0.0283333333333333,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,0.0,0.0,0.0,1.0,6.989809699999967,,,,,,,,,,,6.871451499999978,6.989809699999967,0.1257805000000189,6.989809699999967,6.989809699999967,14.632030600000007,"[1.5465690999999993, 2.826139000000012, 4.1908783000000085, 5.552188600000022, 7.796909599999992]","[0.05611111111111111, -0.18444444444444444, 0.235, 0.012222222222222223, -0.03833333333333333]","[0.10722222222222222, 0.0961111111111111, 0.14666666666666667, -0.11888888888888889, 0.11]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.4298587999999768, 2.7094582999999943, 4.07456609999997, 5.434906599999977, 7.679791499999965]","['target_0', 'target_4', 'target_1', 'target_3', 'target_2']",14.634938299999988,14.657117400000004,14.657117400000004,15.64179059999998,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,0.0,1.0,1.0,0.0,15.735016299999984,,,,,,,,,,,15.642269,15.735016299999984,0.0724412999999799,15.735016299999984,15.735016299999984,22.05093089999997,"[1.950137199999972, 3.0177605000000085, 4.095488699999976, 5.427066699999955, 6.41418189999996]","[0.09388888888888888, -0.04, -0.13555555555555557, 0.12166666666666667, 0.20833333333333334]","[0.23166666666666666, 0.21833333333333332, 0.19944444444444445, -0.03888888888888889, -0.13722222222222222]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.8827552999999853, 2.9484497999999917, 4.026290099999983, 5.357497299999977, 6.344524199999967]","['target_3', 'target_0', 'target_4', 'target_1', 'target_2']",22.052226299999973,22.059902499999964,22.059902499999964,23.05740370000001,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
red,0.0,2.0,2.0,2.0,23.156466499999965,,,,,,,,,,,23.057822499999983,23.156466499999965,0.0786927999999989,23.156466499999965,23.156466499999965,28.50831460000001,"[1.2920506000000387, 2.1474685000000022, 3.3042282000000114, 4.348476100000028, 5.454360699999995]","[-0.013333333333333334, 0.058333333333333334, 0.15833333333333333, 0.19111111111111112, -0.05444444444444444]","[-0.049444444444444444, -0.05444444444444444, 0.12333333333333334, 0.0044444444444444444, 0.043333333333333335]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.220338599999991, 2.075701899999956, 3.2321231999999895, 4.276182799999958, 5.382031299999994]","['target_2', 'target_1', 'target_0', 'target_3', 'target_4']",28.50919319999997,28.51697409999997,28.51697409999997,29.50700760000001,29.619514900000013,29.619514900000013,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,1.0,0.0,3.0,1.0,29.619514900000013,,,,,,,,,,,29.507382699999997,29.619514900000013,0.0810027999999647,29.619514900000013,29.619514900000013,36.67269669999996,"[1.6645164999999906, 2.5924322999999845, 3.511213199999986, 4.80861509999994, 7.16142439999993]","[-0.042222222222222223, -0.15833333333333333, -0.18, 0.10444444444444445, 0.24833333333333332]","[0.18666666666666668, 0.06222222222222222, -0.06277777777777778, -0.06333333333333334, 0.04777777777777778]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.5908473000000072, 2.518739100000005, 3.437366300000008, 4.733872800000029, 7.087115100000062]","['target_3', 'target_1', 'target_0', 'target_2', 'target_4']",36.67355639999994,36.68444920000002,36.68444920000002,37.67267500000003,37.76490739999997,37.76490739999997,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
red,1.0,1.0,4.0,2.0,37.76490739999997,,,,,,,,,,,37.67317779999996,37.76490739999997,0.0657097000000703,37.76490739999997,37.76490739999997,43.65790960000004,"[1.2492273000000296, 2.9247252000000117, 3.3176220000000285, 4.965852500000096, 5.982810900000004]","[-0.03944444444444444, 0.04, 0.17, 0.08888888888888889, -0.04]","[0.09444444444444444, 0.044444444444444446, -0.10388888888888889, -0.17555555555555555, -0.013888888888888888]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.1893042000000378, 2.8648609000000533, 3.822633900000028, 4.9057593, 5.921991800000001]","['target_0', 'target_4', 'target_3', 'target_1', 'target_2']",43.65856599999995,43.66646319999995,43.66646319999995,44.65481550000004,44.74546429999998,44.74546429999998,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,1.0,2.0,5.0,0.0,44.74546429999998,,,,,,,,,,,44.65526969999996,44.74546429999998,0.0576954999999088,44.74546429999998,44.74546429999998,51.60124710000002,"[1.897990199999981, 3.0261213, 4.645560799999998, 5.912923399999954, 6.940587499999992]","[0.08666666666666667, -0.19944444444444445, -0.042222222222222223, 0.18555555555555556, 0.04722222222222222]","[0.23277777777777778, 0.19277777777777777, -0.19333333333333333, 0.11555555555555555, 0.15555555555555556]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.8440279999999802, 2.971290799999906, 4.590602499999932, 5.858222399999931, 6.885885699999903]","['target_3', 'target_2', 'target_0', 'target_1', 'target_4']",51.6018828,51.61031619999994,51.61031619999994,52.60316499999999,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,2.0,0.0,6.0,1.0,52.70241609999994,,,,,,,,,,,52.60350340000002,52.70241609999994,0.069911100000013,52.70241609999994,52.70241609999994,58.62032299999999,"[1.528851300000042, 2.733741000000009, 3.8126804000000902, 5.002223300000082, 6.015850699999987]","[0.1361111111111111, -0.025555555555555557, -0.08277777777777778, -0.13833333333333334, -0.24055555555555555]","[0.09222222222222222, -0.23555555555555555, 0.06333333333333334, 0.17, 0.07277777777777777]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.4661793000000216, 2.670610600000032, 3.7493981000000076, 4.939259499999935, 5.952933199999961]","['target_0', 'target_2', 'target_3', 'target_4', 'target_1']",58.62133449999999,58.632050100000015,58.632050100000015,59.62158829999999,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,2.0,1.0,7.0,0.0,59.73546969999995,,,,,,,,,,,59.62203790000001,59.73546969999995,0.0915407999999615,59.73546969999995,59.73546969999995,65.17529709999997,"[1.0970804999999473, 2.189383399999997, 3.2919570999999905, 4.415311799999927, 5.551610499999924]","[-0.14555555555555555, -0.1938888888888889, -0.08666666666666667, 0.14, 0.21]","[0.16666666666666666, -0.050555555555555555, -0.22166666666666668, 0.034444444444444444, 0.20722222222222222]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.012091899999973, 2.103585599999974, 3.206256899999971, 4.328765299999986, 5.465737699999977]","['target_2', 'target_3', 'target_4', 'target_1', 'target_0']",65.17637400000001,65.18662749999999,65.18662749999999,66.18457209999997,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
red,2.0,2.0,8.0,2.0,66.26980379999998,,,,,,,,,,,66.18485329999999,66.26980379999998,0.065166999999974,66.26980379999998,66.26980379999998,72.3818738,"[1.1677598999999645, 2.0317450999999664, 2.970464799999945, 4.572147299999983, 6.20277509999994]","[0.052222222222222225, 0.17555555555555555, 0.24222222222222223, 0.2288888888888889, -0.21555555555555556]","[0.16666666666666666, 0.051111111111111114, -0.04833333333333333, -0.2222222222222222, -0.028333333333333332]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.1090060999999878, 1.973467600000049, 2.912321399999996, 4.513816499999962, 6.144727099999955]","['target_1', 'target_2', 'target_3', 'target_4', 'target_0']",72.38290989999996,72.39299110000002,72.39299110000002,73.38368030000004,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
