target_col,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,Unnamed: 56,source_file,thanks.stopped,Unnamed: 46,Unnamed: 44,Unnamed: 54
,,,,,,,,,,,,,,,,,0.003455600000052,0.0078561999998783,0.0030874999993102,16.530548099999578,0.0338888888888888,-0.1716666666666666,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
red,0.0,0.0,0.0,[-0.135],[0.09],[1],[0],[0],[2.628650800000287],"['target', 'target']",0.0,0.0,0.0,2.0,16.595216400000027,,,,,,,,,,,16.582519099999445,16.595216400000027,0.0517001999996864,16.595216400000027,16.595216400000027,16.595216400000027,19.212353599999915,[-0.135],[0.09],[1],[0],[0],[2.628650800000287],"['target', 'target']",19.227840300000025,19.233368999999584,19.233368999999584,20.2272395,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,1.0,1.0,0.0,[-0.18333333333333332],[0.16444444444444445],[1],[0],[0],[1.5916637999998784],"['target', 'target']",0.0,1.0,1.0,1.0,20.284660899999835,,,,,,,,,,,20.269587699999647,20.284660899999835,0.0569310000000768,20.284660899999835,20.284660899999835,20.284660899999835,21.862275899999982,[-0.18333333333333332],[0.16444444444444445],[1],[0],[0],[1.5916637999998784],"['target', 'target']",21.8742542,21.87853779999932,21.87853779999932,22.87810379999973,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,2.0,2.0,0.0,[0.01888888888888889],[-0.09666666666666666],[1],[0],[0],[1.7272648999996818],"['target', 'target']",0.0,2.0,2.0,0.0,22.929591699999943,,,,,,,,,,,22.91800259999945,22.929591699999943,0.0555099000002883,22.929591699999943,22.929591699999943,22.929591699999943,24.646170699999857,[0.01888888888888889],[-0.09666666666666666],[1],[0],[0],[1.7272648999996818],"['target', 'target']",24.65955159999976,24.66487739999957,24.66487739999957,25.662704499999563,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,3.0,0.0,1.0,[-0.03166666666666667],[-0.15333333333333332],[1],[0],[0],[1.38530769999943],"['target', 'target']",1.0,0.0,3.0,1.0,25.72869659999924,,,,,,,,,,,25.713460299999497,25.72869659999924,0.0670727999995506,25.72869659999924,25.72869659999924,25.72869659999924,27.10005699999965,[-0.03166666666666667],[-0.15333333333333332],[1],[0],[0],[1.38530769999943],"['target', 'target']",27.10889689999931,27.11440219999986,27.11440219999986,28.11253089999991,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,4.0,1.0,1.0,[-0.13277777777777777],[-0.13555555555555557],[1],[0],[0],[1.3860214000005726],"['target', 'target']",1.0,1.0,4.0,0.0,28.158672999999908,,,,,,,,,,,28.1468376999992,28.158672999999908,0.0463185999997222,28.158672999999908,28.158672999999908,28.158672999999908,29.5337514999992,[-0.13277777777777777],[-0.13555555555555557],[1],[0],[0],[1.3860214000005726],"['target', 'target']",29.542212899999868,29.547474499999225,29.547474499999225,30.54763920000005,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
red,5.0,2.0,1.0,[-0.07388888888888889],[0.24222222222222223],[1],[0],[0],[1.588337799999863],"['target', 'target']",1.0,2.0,5.0,2.0,30.60719649999919,,,,,,,,,,,30.593145599999843,30.60719649999919,0.0589454000000841,30.60719649999919,30.60719649999919,30.60719649999919,32.18251479999981,[-0.07388888888888889],[0.24222222222222223],[1],[0],[0],[1.588337799999863],"['target', 'target']",32.192803099999765,32.197364099999504,32.197364099999504,33.1823732999992,33.23163989999921,33.23163989999921,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
red,6.0,0.0,2.0,[0.024444444444444446],[0.21611111111111111],[1],[0],[0],[1.0961889000000156],"['target', 'target']",2.0,0.0,6.0,2.0,33.23163989999921,,,,,,,,,,,33.21956729999965,33.23163989999921,0.0368236000003889,33.23163989999921,33.23163989999921,33.23163989999921,34.316459899999245,[0.024444444444444446],[0.21611111111111111],[1],[0],[0],[1.0961889000000156],"['target', 'target']",34.325077199999214,34.33080239999981,34.33080239999981,35.31794109999919,35.368098899999495,35.368098899999495,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,7.0,1.0,2.0,[-0.205],[0.20166666666666666],[1],[0],[0],[1.32670490000055],"['target', 'target']",2.0,1.0,7.0,1.0,35.368098899999495,,,,,,,,,,,35.3563596999993,35.368098899999495,0.0396093999997901,35.368098899999495,35.368098899999495,35.368098899999495,36.68392769999991,[-0.205],[0.20166666666666666],[1],[0],[0],[1.32670490000055],"['target', 'target']",36.69298189999972,36.698896500000046,36.698896500000046,37.68447389999983,37.74280980000003,37.74280980000003,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,8.0,2.0,2.0,[0.17666666666666667],[-0.06944444444444445],[1],[0],[0],[1.6365849000003436],"['target', 'target']",2.0,2.0,8.0,0.0,37.74280980000003,,,,,,,,,,,37.73091309999927,37.74280980000003,0.0467597999995632,37.74280980000003,37.74280980000003,37.74280980000003,39.3685803999997,[0.17666666666666667],[-0.06944444444444445],[1],[0],[0],[1.6365849000003436],"['target', 'target']",39.37846029999946,39.38449499999933,39.38449499999933,40.38371000000007,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
red,9.0,0.0,3.0,[-0.11833333333333333],[0.12],[1],[0],[0],[1.1755370000000767],"['target', 'target']",3.0,0.0,9.0,2.0,40.438737099999344,,,,,,,,,,,40.42571119999957,40.438737099999344,0.05688310000005,40.438737099999344,40.438737099999344,40.438737099999344,41.60220069999923,[-0.11833333333333333],[0.12],[1],[0],[0],[1.1755370000000767],"['target', 'target']",41.61039660000006,41.6164762999997,41.6164762999997,42.60304079999969,42.66243339999983,42.66243339999983,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,10.0,1.0,3.0,[0.0811111111111111],[-0.042222222222222223],[1],[0],[0],[1.1358372999993662],"['target', 'target']",3.0,1.0,10.0,0.0,42.66243339999983,,,,,,,,,,,42.65158840000004,42.66243339999983,0.0491900999995778,42.66243339999983,42.66243339999983,42.66243339999983,43.7883554,[0.0811111111111111],[-0.042222222222222223],[1],[0],[0],[1.1358372999993662],"['target', 'target']",43.79736289999983,43.80321089999961,43.80321089999961,44.8019703,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,11.0,2.0,3.0,[-0.10222222222222223],[0.041666666666666664],[1],[0],[0],[1.2468189000001075],"['target', 'target']",3.0,2.0,11.0,1.0,44.85131060000003,,,,,,,,,,,44.83946789999936,44.85131060000003,0.0508229999995819,44.85131060000003,44.85131060000003,44.85131060000003,46.08727259999978,[-0.10222222222222223],[0.041666666666666664],[1],[0],[0],[1.2468189000001075],"['target', 'target']",46.096384299999954,46.10179019999941,46.10179019999941,47.08614689999922,47.1356452,47.1356452,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
