ParticipantID,Mean_Accuracy,Mean_RT,Num_Trials,Condition
1,100.0,2331.349806667034,15,Single_Lab
2,100.0,1865.4243666667753,15,Single_Lab
3,100.0,1762.399106666756,15,Single_Lab
4,100.0,1452.9313866655382,15,Single_Lab
5,100.0,1540.2571933329455,15,Single_Lab
6,100.0,1602.0891066684271,15,Single_Lab
7,100.0,1510.7701933333224,15,Single_Lab
8,100.0,1547.0682333333418,15,Single_Lab
9,100.0,1363.1837733333366,15,Single_Lab
10,100.0,1429.9736733333702,15,Single_Lab
11,100.0,1431.5763866666505,15,Single_Lab
12,100.0,1507.9863200000013,15,Single_Lab
13,100.0,1391.2566666665953,15,Single_Lab
14,100.0,1640.1328133333323,15,Single_Lab
15,100.0,1338.1374399999988,15,Single_Lab
16,100.0,1766.1829400000138,15,Single_Lab
17,100.0,1160.4643666668078,15,Single_Lab
18,100.0,1542.302046666373,15,Single_Lab
19,100.0,1649.9751800006682,15,Single_Lab
20,100.0,1492.9917733335362,15,Single_Lab
21,100.0,1547.1590666663058,15,Single_Lab
