ParticipantID,Mean_Accuracy,Mean_RT,Num_Trials,Condition
1,100.0,3107.3333333333335,15,Single_Phone
2,95.833125,3729.125,16,Single_Phone
3,96.875,2287.0625,16,Single_Phone
4,96.875,2837.5625,16,Single_Phone
5,81.75421052631579,3696.7894736842104,19,Single_Phone
6,83.27615384615385,3148.4615384615386,39,Single_Phone
7,100.0,3064.4666666666667,15,Single_Phone
8,87.26833333333333,2435.5555555555557,18,Single_Phone
9,100.0,2686.2,15,Single_Phone
10,96.66666666666667,2967.6,15,Single_Phone
11,100.0,2604.3333333333335,15,Single_Phone
12,91.11066666666667,2649.3333333333335,15,Single_Phone
13,100.0,2900.133333333333,15,Single_Phone
14,93.33333333333333,3793.866666666667,15,Single_Phone
15,95.0,2116.8125,16,Single_Phone
16,100.0,2696.9333333333334,15,Single_Phone
17,100.0,2426.733333333333,15,Single_Phone
18,96.875,2616.75,16,Single_Phone
19,96.66666666666667,2887.4666666666667,15,Single_Phone
20,100.0,3487.9333333333334,15,Single_Phone
21,100.0,3968.2,15,Single_Phone
