Level,Mean_RT,SD_RT,Mean_Accuracy,SD_Accuracy,N
1,875.5833333333334,603.1654431844149,98.4375,6.249999999999999,16
2,486.3046875,85.31400296295152,100.0,0.0,16
3,695.6953125,261.736078779552,99.305625,2.7775000000000007,16
4,1602.5203125,425.5940580743922,95.9278125,6.104619826751433,16
5,1144.8680555555557,341.0302261895522,99.375,2.499999999999999,16
6,1037.846875,329.95300547641125,96.7171875,7.765103555598384,16
7,1361.9389204545455,393.41024566184177,96.1809375,6.257089903661288,16
8,1101.7875,354.4380902687144,96.59125,4.545000000000003,16
9,983.7395833333334,217.9465528157288,99.519375,1.9224999999999997,16
10,1677.9439106900045,323.63363947302815,93.1490625,4.933253376557381,16
11,1394.8464285714285,313.0318610715503,94.984,6.266288175626785,5
12,1647.3550264550265,195.7401120483092,91.22611111111111,3.1081176570989664,3
13,1980.1642857142858,554.7691286214731,66.52,18.166367275820452,3
14,1436.6,,94.12,,1
